date,presentprice,open,highprice,lowprice,change%
20160314,"1,189.05","1,186.77","1,192.56","1,182.57",0.1
20160311,"1,187.90","1,204.09","1,211.10","1,183.39",-1.46
20160310,"1,205.44","1,208.49","1,214.86","1,197.25",-0.36
20160309,"1,209.85","1,208.89","1,218.36","1,205.69",-0.03
20160308,"1,210.24","1,198.49","1,210.90","1,198.39",0.86
20160307,"1,199.89","1,197.50","1,208.50","1,195.88",0.12
20160304,"1,198.50","1,211.07","1,214.00","1,194.19",-1.12
20160303,"1,212.07","1,223.69","1,227.70","1,207.89",-1.06
20160302,"1,225.10","1,227.99","1,237.20","1,223.29",-0.35
20160301,"1,229.35","1,237.24","1,239.44","1,225.49",-0.72
20160229,"1,238.24","1,242.50","1,246.10","1,233.89",-0.39
20160226,"1,243.13","1,233.89","1,245.99","1,229.79",0.64
20160225,"1,235.20","1,231.71","1,243.95","1,230.81",0.2
20160224,"1,232.71","1,231.04","1,241.74","1,229.89",0.05
20160223,"1,232.04","1,223.09","1,233.72","1,221.29",0.62
20160222,"1,224.44","1,233.05","1,238.76","1,221.09",-0.76
20160219,"1,233.87","1,227.59","1,240.50","1,227.29",0.4
20160218,"1,228.94","1,222.89","1,235.11","1,221.08",0.38
20160217,"1,224.24","1,217.90","1,232.16","1,216.39",0.44
20160216,"1,218.91","1,213.39","1,222.66","1,210.29",0.34
20160215,"1,214.74","1,206.85","1,214.74","1,205.60",0.64
20160212,"1,207.00","1,199.65","1,212.50","1,197.79",0.53
20160211,"1,200.65","1,187.69","1,206.80","1,187.39",0.98
20160210,"1,189.05","1,197.39","1,202.09","1,186.49",-0.81
20160209,"1,198.70","1,202.69","1,209.40","1,196.09",-0.44
20160208,"1,204.05","1,205.26","1,211.70","1,202.35",-0.19
20160205,"1,206.35","1,190.59","1,207.38","1,188.09",1.21
20160204,"1,191.94","1,199.79","1,206.95","1,180.70",-0.77
20160203,"1,201.14","1,211.48","1,222.36","1,198.28",-0.94
20160202,"1,212.48","1,201.79","1,214.57","1,196.78",0.81
20160201,"1,202.79","1,207.11","1,211.70","1,198.70",-0.44
20160129,"1,208.11","1,206.73","1,213.60","1,197.08",0.03
20160128,"1,207.74","1,207.82","1,212.10","1,200.49",-0.09
20160127,"1,208.79","1,197.32","1,209.57","1,196.75",0.88
20160126,"1,198.20","1,198.70","1,206.62","1,196.35",-0.13
20160125,"1,199.70","1,196.70","1,202.57","1,191.07",0.18
20160122,"1,197.57","1,203.20","1,207.20","1,194.84",-0.51
20160121,"1,203.76","1,208.22","1,214.30","1,202.00",-0.45
20160120,"1,209.25","1,206.39","1,219.15","1,206.11",0.15
20160119,"1,207.49","1,210.72","1,214.20","1,201.06",-0.34
20160118,"1,211.57","1,213.81","1,217.20","1,207.26",-0.27
20160115,"1,214.81","1,206.73","1,221.70","1,205.58",0.59
20160114,"1,207.74","1,209.24","1,219.07","1,206.50",-0.21
20160113,"1,210.24","1,209.40","1,215.20","1,200.30",-0.01
20160112,"1,210.33","1,203.63","1,213.50","1,202.97",0.46
20160111,"1,204.76","1,206.94","1,211.50","1,201.19",-0.26
20160108,"1,207.94","1,196.29","1,214.65","1,190.90",0.89
20160107,"1,197.29","1,199.52","1,204.70","1,192.16",-0.27
20160106,"1,200.52","1,189.81","1,203.80","1,186.59",0.82
20160105,"1,190.81","1,189.35","1,192.80","1,183.40",0.04
20160104,"1,190.35","1,174.66","1,193.23","1,174.65",1.27
20160101,"1,175.45","1,174.94","1,176.50","1,174.19",-0.04
20151231,"1,175.95","1,176.54","1,177.73","1,173.40",-0.13
20151230,"1,177.51","1,170.41","1,179.20","1,168.13",0.51
20151229,"1,171.56","1,168.05","1,172.31","1,165.90",0.23
20151228,"1,168.85","1,167.00","1,170.05","1,161.72",-0.18
20151225,"1,170.95","1,168.54","1,171.70","1,167.72",0.08
20151224,"1,170.03","1,173.01","1,176.40","1,165.90",-0.34
20151223,"1,174.02","1,170.72","1,179.54","1,169.50",0.2
20151222,"1,171.72","1,173.48","1,179.50","1,168.46",-0.23
20151221,"1,174.46","1,182.04","1,183.04","1,172.99",-0.67
20151218,"1,182.43","1,184.04","1,189.20","1,177.56",-0.22
20151217,"1,185.04","1,171.25","1,189.17","1,171.25",1.11
20151216,"1,172.02","1,173.81","1,181.90","1,170.57",-0.23
20151215,"1,174.69","1,183.32","1,186.00","1,172.95",-0.81
20151214,"1,184.32","1,186.44","1,190.65","1,182.39",-0.27
20151211,"1,187.58","1,178.05","1,192.11","1,176.50",0.72
20151210,"1,179.06","1,180.96","1,183.11","1,172.03",-0.25
20151209,"1,181.96","1,179.48","1,185.68","1,175.45",0.12
20151208,"1,180.49","1,175.36","1,185.11","1,172.28",0.35
20151207,"1,176.35","1,162.89","1,177.45","1,162.52",1.09
20151204,"1,163.64","1,153.02","1,168.36","1,152.78",0.83
20151203,"1,154.02","1,162.01","1,171.12","1,151.03",-0.77
20151202,"1,163.01","1,154.68","1,167.49","1,153.05",0.63
